epoch,loss,val_loss,opt_time
50,81741.1751953125,81707.47734375,0.0024927293250073036
51,81740.4244140625,81706.6328125,0.0024940174750042845
52,81739.5201171875,81705.4671875,0.002496028050009613
53,81738.52734375,81704.83515625,0.002495004800007905
54,81737.4861328125,81704.0375,0.002499362524989124
55,81736.256640625,81702.6046875,0.002496494799993343
56,81735.1169921875,81701.746875,0.0024926039999741078
57,81734.163671875,81700.6921875,0.002494429799995146
58,81733.4388671875,81699.7515625,0.0024987379249978405
59,81732.180859375,81698.696875,0.0024945822750112256
60,81730.920703125,81697.8515625,0.0024951663000024383
61,81729.9408203125,81696.9828125,0.0024980118749994063
62,81729.0833984375,81695.89609375,0.0024961975250022304
63,81727.89375,81695.25078125,0.002495419299989976
64,81727.0955078125,81694.44140625,0.0024933925500135955
65,81726.052734375,81693.8453125,0.0024965177500007483
66,81725.1123046875,81693.1109375,0.0024951545000078566
67,81723.9126953125,81692.284375,0.0024973465250099024
68,81722.89609375,81691.16328125,0.0024938252999902486
69,81721.9314453125,81690.6265625,0.002497845600007054
70,81720.9703125,81689.5125,0.0024946894999970937
71,81719.9849609375,81688.1359375,0.002495745499987834
72,81718.6341796875,81687.50234375,0.0024925294499837493
73,81717.44453125,81686.4890625,0.0024932748250023453
74,81716.472265625,81685.91796875,0.0024938877250150425
75,81715.79375,81685.8546875,0.0024967311999944284
76,81714.096484375,81684.20078125,0.002494532250005932
77,81712.737890625,81683.88515625,0.0024988350750135167
78,81711.5521484375,81683.0875,0.002494205525010784
79,81710.4255859375,81681.96796875,0.002494479300011676
80,81709.1515625,81680.33828125,0.002495301974997233
81,81707.91640625,81679.75546875,0.002494965274999572
82,81706.4361328125,81678.39921875,0.0024952991000048996
83,81705.02265625,81676.865625,0.002493386524983521
84,81703.71640625,81675.0765625,0.002495019025005263
85,81702.3154296875,81674.1515625,0.0024939703249998503
86,81701.0849609375,81673.23984375,0.002495395799988387
87,81699.52578125,81672.121875,0.0024908724999903598
88,81698.03125,81671.32890625,0.0024933502249950834
89,81696.709375,81670.40390625,0.0024932167999878628
90,81695.4865234375,81669.42578125,0.002495737974979306
91,81694.2125,81668.26640625,0.002494458199998917
92,81692.7017578125,81667.38359375,0.002496507025000483
93,81691.6310546875,81666.56875,0.002495820274992866
94,81690.5521484375,81665.46484375,0.002495466525007828
95,81689.1912109375,81665.128125,0.0024951834749998626
96,81687.944140625,81664.20859375,0.0024950655249966758
97,81686.9068359375,81663.8453125,0.002495003275001295
98,81685.48046875,81662.0671875,0.0025009232749937382
99,81684.4853515625,81661.38046875,0.002501599825009748
100,81683.2955078125,81660.72578125,0.0024990817999992034
101,81682.3185546875,81659.675,0.002497305250005866
102,81681.4900390625,81658.56171875,0.002497101824999959
103,81680.3296875,81657.80546875,0.0024967000249915827
104,81679.16328125,81656.91796875,0.002495128749993114
105,81677.96875,81655.61015625,0.002496821300007923
106,81677.0951171875,81654.92109375,0.0024970703999940723
107,81675.9416015625,81654.115625,0.002495797024985791
108,81675.0142578125,81653.121875,0.002494385600002147
109,81673.9716796875,81652.32734375,0.0025003287249944607
110,81672.9458984375,81652.2859375,0.002493336275003344
111,81671.8060546875,81651.7671875,0.0024966182999946796
112,81671.0681640625,81650.4375,0.0024983145499874126
113,81669.73828125,81649.46015625,0.0024976310749991624
114,81668.73828125,81648.740625,0.0024971975249911795
115,81667.698828125,81648.06640625,0.0024984653249902067
116,81666.8634765625,81647.3328125,0.0025007459250105057
117,81665.774609375,81646.55234375,0.002497361325009706
118,81664.5390625,81645.6296875,0.002495047525002292
119,81663.4255859375,81644.75625,0.002495108925015188
120,81662.6203125,81643.73984375,0.0024982835749995046
121,81661.394921875,81642.73984375,0.0024973790000046847
122,81659.832421875,81642.10859375,0.002495063550000509
