epoch,loss,val_loss,opt_time
106,83679.3302734375,84600.0859375,0.00027627935000396064
107,83678.8076171875,84599.28046875,0.00027647010000180216
108,83678.1673828125,84598.5515625,0.0002766471749964694
109,83677.63125,84597.70390625,0.0002774496000000681
110,83677.10078125,84596.87109375,0.0002771378499915045
111,83676.36171875,84596.36953125,0.00027672634998907595
112,83675.5875,84595.78828125,0.0002761168250032142
113,83675.0900390625,84595.215625,0.00027635032500938905
114,83674.3259765625,84594.4921875,0.00027641032499730044
115,83673.9380859375,84593.49296875,0.0002769620499975645
116,83673.221875,84592.65,0.00027727602500249304
117,83672.5716796875,84591.77109375,0.0002771653999928958
118,83672.0583984375,84591.1453125,0.000277278400002956
119,83671.3267578125,84590.63984375,0.0002765273749844255
120,83670.7439453125,84589.75234375,0.0002767882749992623
